Titulo,Ano da publicação,Nome do estudante,Orientador,co-orientador,Descrição empírica dos PGs,definição DNC,TAGS,LUGAR
"O habitar no público e
privado ateniense",2013,"Bosi, Felipe Azevedo","Ribeiro, Nelson Porto",,"O habitar no público e
privado ateniense",História e Teoria da Arquitetura e Urbanismo,Ensaio/ habitar/ antiguidade,Atenas
"Soluções paisagísticas para cidades carentes de verde:
Uma análise da relação entre a urbanização e as
áreas verdes na cidade de
Vitória. /
",2018,"Bossatto, Kaio ","Rodrigues, Edna Aparecida Nico",,"Soluções paisagísticas para cidades carentes de verde:
Uma análise da relação entre a urbanização e as
áreas verdes na cidade de
Vitória. /
",História e Teoria da Arquitetura e Urbanismo,Análise/ paisagismo/ urbanismo/ áreas verdes,Vitória
Compondo-se por partes,2002,"Botolini, Irani Regina","Frizera, Kleber",,Metodologia projetual com desenvoltimento do projeto de uma casa em Santa Cecília ,Projeto de arquitetura,Metodologia de projeto/ Sustentabilidade/ edifício,Santa Cecília
"Um modelo de ocupação
vertical na Enseada do Suá.",2001,"Braga, Augusto Cezar
Gomes","Abe, André
Tomoyuki",,Propostas e diretrizes para edifícios verticais na enseada do sua,Planejamento Urbano e regional,Diretrizes/ verticalização/ PDU,Enseada do Suá
"Percepção ambiental: uma
experiência na Avenida
Carioca - Praia da Costa.",2015,"Brambati, Alice Dellabianca.","Rodrigues, Edna
Aparecida Nico",,Projeto urbanismo avenida carioca praia da costa ,Projeto de urbanismo,Projeto/ urbanismo/ mobilidade/ fenomenologia ,Praia da Costa
"Parque Morro do Moreno:
preservação, lazer e
turismo",2006,"Brandão, Kleber Brandão
de","Vargas, Paulo Sérgio
de Paula",,Projeto de parque no morro do moreno ,Projeto de paisagismo,Projeto/ parque/ turismo,morro do moreno
"Open mall: a união do
ambiente da rua com o
espaço do comércio",2014,"Brant, Kátia Mattos Caldeira","Rocha, Ricardo",,Estudo preliminar de um open mall com uso de tensestrutura localizado na Avenida Adalberno Simão Nader no bairros de Mata da Praia Vitória-ES,Sistemas Estruturais,Projeto/ Shopping aberto/ tensoestrutura,Mata da Praia
"Transformando a paisagem
pela arte",2013,"Braz, Santiléia de Mello","Simões, Roberto Garcia",,Proposta de intervenções artísticas na UFES de forma que mudem a paisagem ,Projeto de paisagismo,Intervenções/ Arte/ Paisagem,UFES Goiabeiras
"Percepção e cidade : o
porto na ilha de Vitória.",2005,"Bressaneli, Marina","Campos, Martha Machado",,Entrevista empirica científica sobre o Porto de Vitória aos habitantes do centro ,História e Teoria da Arquitetura e Urbanismo,Entrevista/ porto/ habitantes ,Centro de Vitória
"O todo em tudo: proporções
matemáticas na concepção
arquitetônica",2004,"Brioschi, Rosângela","Esteves, Milton Júnior",,Estudo das proporções matemáticas na concepção da arquitetura com ensaio projetual de 3 propostas de galeria de arte na reta da penha ,Projeto de arquitetura,Análise/ Proporção matemática/ projeto/ Galeria de arte,Praia do Canto
"Reviva centro: intervenção urbana pela valorização e
humanização do centro histórico de Vitória
",2018,"Broedel, Vanessa Ferreira ","Alvarenga, Augusto",,Projeto urbano para reviver o Centro de Vitória,Projeto de urbanismo,Projeto/ urbanismo/ Centro ,Centro de Vitória
"Centro da Serra: um bairro
sustentável",2003,"Brommonschenkel,
Vanessa Barbosa","Alvarenga, Augusto","Mandonça,
Eneida",Planejamento urbano de um novo bairro sustentável na serra  ,Planejamento urbano e regional,Planejamento/ bairro/ PDU,Serra
"Traço x Preço : ""Da
arquitetura a construção
civil"".",2005,"Brotas, Giuliano Muniz.","Porto, Nelson",,Orçamento de edifício residencial ,Tecnologia das Construções,Orçamento/ edifício ,n/d
"Melhoria do ambiente fabril
como incentivo produtivo",2005,"Brumatti, Dioni O","Abe,
André",,Projeto de fábrica na darly Santos pensando na melhor produção ,Projeto de arquitetura,Projeto/ Industrial/ produção,Araçás (Rod. Darly Santos)
"Alternativa habitacional
popular em área central.",2002,"Bubach, Pauline","Abe,
André.",,Readequacao de prédios comerciais para habitações de interesse social (palavra retrofit não foi usada) ,Projeto de arquitetura,Projeto/ Retrofit/ Interesse social,Centro de Vitória
"Clube náutico Linhares das
águas",2011,"Buffon, Laísa Rigo","Alvarenga, Augusto","Vargas, Paulo",Projeto de clube Náutico na lagoa de juparana em Linhares ,Projeto de arquitetura,Projeto/ clube náutico,Lagoa Juparanã
"Estudo do design para
ambiente de atendimento
público",2013,"Burgos, Danillo Carvalho","Berwanger, Ana Cláudia","Kunz, Gilberto",,,,
"Itinerarte: um museu
itinerante com containers",2014,"Burjack, Olivia Freitas Lima","Patek, Maria Madalena
dos Santos","Nico-Rodrigues, Edna
Aparecida",Museu itinerante em container ,projeto de arquitetura,Projeto/ Museu/ Intinerante/ Container,n/d
"Projeto de revitalização do
parque da prainha de
VilaVelha.",2013,"Bussolotti, Victor Moura","Romanelli, Marco Antônio
Cypreste",,Projeto de revitalização para o parque da prainha. Urbano e arquitetura ,Projeto de paisagismo,Projeto/ Parque/ urbanismo/ revitalização,Prainha
Um marco para Camburi.,2002,"Cabal, Larissa Crispin","Frizzera, Kleber,",,Projeto de edifício que visa ser um marco para a praia de Camburi. Não tem função definida ,projeto de arquitetura,Projeto/ edifício/ Marco,Pontal de Camburi
"Mod: estruturas portáteis
em festivais de música",2008,"Cabideli, Everson Erlacher","Junior, Milton Esteves",,"Mod: estruturas portáteis
em festivais de música",Sistemas estruturais,Análise/ Estruturas portáteis/ festivais/ música,n/d
"Vinho e conservação: uma
proposta de requalificação
para o centro de Vitória.",2002,"Cabral, Melissa Ramos","Morroquim, Ione Mota","Ribeiro, Nelson
Porto",Proposta de restaurante com adega em uma casa histórica do centro ,Técnicas retrospectivas,Projeto/ Restaurante/ retrofit,Centro de Vitória
"Planejamento ambiental em
Linhares: proposta de
expansão para a área sul
do município",2008,"Calanzani, Livia Dalarme","Penteado, Homero",,Projeto urbano para região de Linhares sustentável ,Projeto de urbanismo,Projeto/ urbanismo/ Sustentabilidade,Centro de Linhares
"Hotel na Enseada do Suá
em sistema construtivo
industrializado",2008,"Calegari,Paula Ferrari","Bahia,Tarcísio",,"Hotel na Enseada do Suá
em sistema construtivo
industrializado",Sistemas estruturais,Projeto/ Hotel/ sistema construtivo/ indústria,Enseada do Suá
"Cine vivência : um centro
audiovisual para UFES",2005,"Calente, Rodrigo de Souza.","Mendonça, Eneida Maria
Souza",,Reforma da centro de vivência para virar um cinema ,projeto de arquitetura,projeto/ Reforma/ cinema,UFES Goiabeiras
"A arquitetura e o desafio de
projetar para a terceira
idade: volume I - centro
comercial",2014,"Calezani, Jocélio Cláudio","Alvarez, Cristina Engel de","Vargas, Paulo
Sérgio de Paula,",Condomínio residencial para idosos enseada do Suá ,projeto de arquitetura,Projeto/ condomínio/ lar de idosos,Enseada do Suá
"Reestruturação urbana: um
estudo propositivo para a
Avenida Carlos
Lindenberg",2008,"Calmon, Rúbia Alvarenga","Campos, Martha Machado",,"Reestruturação urbana: um
estudo propositivo para a
Avenida Carlos
Lindenberg",Projeto de urbanismo,Projeto/ Urbanismo/ mobilidade,Cobilândia (Rod. Carlos Lindemberg)
"Repensando a qualidade
paisagística do campus de
Goiabeiras : intervenção no
Centro de Artes e no
entorno (Lagoa).",2003,"Campagnaro, Letícia
Souza.","Mendonça, Eneida
Maria S.",,Projeto de paisagismo para UFES ,Projeto de paisagismo,Projeto/ paisagismo,UFES Goiabeiras
"istórico : proposta de
arquitetura e restauro para
o Morro da Matriz,
Guarapari - ES.",2015,"Campista, Luany Rocha.","Almeida, Renata Hermanny
de.",,Projeto e restauro igreja nossa senhora da Conceição e ruína da igreja com intervenção arquitetonica,Técnicas retrospectivas,Projeto/ restauro/ intervenção/ igreja/ patrimônio,Centro de Guarapari
"Iluminação natural em
edifícios escolares: o caso
da EMEF Elzira Vivacqua
dos Santos",2013,"Campos, Lariana Leão","Laranja, Andréa Coelho","Alvarez,
Cristina Engel de","análise da Iluminação natural em
edifícios escolares: o caso
da EMEF Elzira Vivacqua
dos Santos",Conforto Ambiental,"Análise/ iluminação natural/ escola/ EMEF Elzira Vivacqua
dos Santos",Jardim Camburi
"(Des) conexões urbanas:
relações entre o aterro do
Suá, o novo arrabalde e a
paisagem de Vitória",2013,"Campos, Larissa Barcellos","Ribeiro, Rogério Almenara","Simões,
Roberto Garcia",Projeto urbano e diretrizes para a enseada do Suá ,Projeto de urbanismo,Projeto/ urbanismo/ diretrizes/ novo arrabalde,Enseada do Suá
"O conjunto porto canoa
apropriado.",2002,"Campos, Manoela Patrícia
Aleixo Santos","Abe, André
Tomoyuki","Laranja, Latussa",Análise de conjuntos habitacionais em especial o conjunto Porto canoa na serra com diretrizes para melhoria ,História e Teoria da Arquitetura e Urbanismo,Análise/ conjunto habitacional/ Diretrizes,Porto Canoa
"Efeitos da luz natural :
aplicação em um centro
cultural.",2017,"Campos, Nayara de Paula","Laranja, Andréa Coelho",,Elaborar um projeto de um centro cultural utilizando meios arquitetônicos que valorizem a iluminação natural e seus efeitos. Na UFES ,projeto de arquitetura,Projeto/ iluminação natural/ centro de (núcleo de)/ cultura,UFES Goiabeiras
"Proposta para preservação
e desenvolvimento das
potencialidades de uma
área rural em Cariacica. ",2015,"Canal, Flávia Pereira","Esteves Junior, Milton.",,Planejamento urbano para cariacica sede,Planejamento urbano e regional,Planejamento/ desenvolvimento,Cariacica Sede
"Complexo de moradia e
lazer para a terceira idade",2004,"Cangussu, Fernanda
Barbalho.","Mendonça,
Eneida Maria Souza",,"Complexo de moradia e
lazer para a terceira idade praia da costa",Projeto de arquitetura,Projeto/ condomínio/ lar de idosos,Praia da costa
"Intervenção Pontual na Orla
de Camburi.",2008,"Caniçali,Débora Alves","Almenara, Rogério",,Intervenções arquitetônicas em 4 pontos da orla de Camburi visando melhorar o ambiente ,projeto de arquitetura,Intervenções pontuais/ mar/ orla,Jardim da Penha
"Loteamento e Marina das
Palmeiras: um
aconchegante modelo de
apropriação do espaço",2011,"Capanema, Diogo Campos","Almenara, Rogério",,Projeto de Marina em guarapari,Projeto de arquitetura,Projeto/ Marina/ Orla,Centro de Guarapari
"Terminal intermodal de
Vitória: uma alternativa pra
o centro da cidade",2008,"Capelini, Renzo Romão","Romanelli, Marco",,Projeto de terminal intermodal no centro de vitoria,Projeto de arquitetura ,Projeto/ transporte/ mobilidade/ intermodal,Centro de Vitória
"Haras equoterápico : um
centro de terapia, criação e
lazer equestre",2015,"Capucho, Vinicius Ruan
Santi","Penteado,Homero
Marconi",,Projeto de um haras em João neiva,Projeto de arquitetura ,Projeto/ Haras,João Neiva
"A sustentabilidade está aí, e
você ? : proposta de um
planejamento urbano
sustentável.",2006,"Cardoso, Fábio Pantaleão","Penteado, Homero.",,Revisão bibliográfica sobre projetos que visam a sustentabilidade urbana com projeto urbano para o jockey de itaparica,Projeto de urbanismo,Projeto/ urbanismo/ Sustentabilidade/ revisão bibliográfica,Jockey de Itaparica
Boate.,2016,"Cardoso, Jardel Lorenção","Romanelli, Marco Antonio
Cypreste.",,Projeto de boate: reta da penha,Projeto de arquitetura,Projeto/ boate,Praia do Canto
"Centro musical em
Domingos Martins: projeto
de restauro do antigo hotel
Imperador",2016,"Cardoso, Leliane Maria","Almeida, Renata Hermanny
de",,"Centro musical em
Domingos Martins: projeto
de restauro do antigo hotel
Imperador",Técnicas retrospectivas,Projeto/ restauro/ hotel,Centro de domingos martins
"A ""qualificação"" urbana
como processo de
valorização do espaço vazio",2014,"Cardoso, Mariah","Frizzera,
Kleber Perini",,Edifício multifuncional na reta da penha visando qualificar o local,Projeto de arquitetura,Projeto/ requalificação/ Edifício,Praia do Canto
"Espaços públicos
contemporâneos:
conceitos,percepções e
análises",2007,"Cardoso, Mariana Lima","Miranda, Clara",,Análise crítica e reflexiva dos espaços urbanos ,História e Teoria da Arquitetura e Urbanismo,Análise/ espaço/ urbano,n/d
"A casa para além de suas
paredes: uma análise de
projetos residenciais em
Vitória,2000-2005",2007,"Cardoso, Paula Paoliello","Almeida, Renata Hermanny
de",,Análise das casas residenciais aprovadas pela prefeitura de Vitória entre 2000 e 2005,História e Teoria da Arquitetura e Urbanismo,Análise/ residência unifamiliar,n/d
"Conectividades Urbanas :
Transformação e integração
de área porto-rodoferroviária-
industrial com a
baía de Vitória e vizinhança,
em Cariacica.",2010,"Carletto, Tatiana Endlich","Mendonça, Eneida Maria
Souza","Cruz,
Patricia Stelzer da",Projeto urbano com projetos arquitetônica visando a melhor conexão entre cariacica e Vitória ,Projeto de urbanismo,Projeto/ urbanismo/ porto/ ferrovia/ mobilidade,Baía de Vitória
"Paisagem : conceitos,
personagens,
enquadramentos",2006,"Carneiro, Aline Batista.","Miranda, Clara Luiza","Campos,
Marta Machado.",Revisão bibliográfica sobre a paisagem ,História e Teoria da Arquitetura e Urbanismo,Revisão bibliográfica/ Paisagem,n/d
Centro de educação infantil Montessori de Vitória ,2019,"Carnielli, Maria luiza","Alvarenga, augusto",,Projeto de escola em pontal de Camburi ,projeto de arquitetura,Projeto/ escola/ Montessori,Pontal de Camburi
"SIG para o espaço urbano:
um estudo em áreas de
encostas em Cariacica",2011,"Carvalho, Conrado
Gonçalves","Vargas, Paulo
Sérgio de Paula",,análise de moradias em situação de risco em cariacica atraves de SIG,Informática aplicada a arquitetura,SIG/ Análise/ encostas/ residência,Cariacica
"Reabilitação de uma área
degradada : centro
comercial e cultural do
Morro da Gamela.",2009,"Carvalho, Ivan Andalécio
Pareira Andrade Soares de","Vargas, Paulo Sérgio de
Paula",,reabilitação projeto urb pea e centro comercial e cultura (morro da gamela),projeto de arquitetura,Projeto/ centro de (núcleo de)/ cultura/ urbanismo,Santa Lúcia (morro da Gamela)
"Centro de excelência
esportiva.",2004,"Carvalho, Laís Bubach","Souza, Ione Mota
Marroquim de.",,Projeto ginásio poliesportiva e complexo esportivo na barra do jucu,Projeto de arquitetura,Projeto/ Ginásio/ esporte,Barra do Jucu
"Conexão Bahia : Proposta
de conexão verde entre as
praças do centro de Ibicaraí
-BA.",2015,"Carvalho, Letícia Pimentel","Caser, Karla",,Requalificação urbana por meio de conexões verdes em ibicarai Bahia ,Projeto de urbanismo,Projeto/ urbanismo/ paisagismo/ infraestrutura verde,Ibicaraí
"A requalificação de espaços
públicos: um percurso do
urbano ao natural",2001,"Carvalho, Luciana Maria de","Mendonça, Eneida Maria
Souza","Marroquim, Ione",Percurso urbano em carmo do rio claro (MG),Projeto de urbanismo ,Requalificação/ rio/ orla/ urbanismo,Carmo do Rio Claro
"Arquitetando Cidadania :
uma proposta de
reabilitação no norte do
Espírito Santo.",2006,"Carvalho, Mariana Cardoso","Esteves Júnior, Milton","Vargas,
Paulo Sérgio de Paula.",Projeto para áreas degradas de extração mineral. A pesquisa é mais importante que o projeto. Projeto de museu. Norte do estado ,topografia,Projeto/ Extração/  mineral/ museu,n/d
"Centro de formação e
espiritualidade São
Francisco de Assis",2017,"Carvalho, Marina Klippel","Ribeiro, Rogério Almenara.",,Projeto centro de formação e espiritualidade. Itapua  (igreja) ,Projeto de arquitetura,Projeto/ igreja/ centro de  (núcleo de)/ formação religiosa,Itapuã
SerrArena,2014,"Carvalho, Tiago de Pinho","Romanelli, Marco Antônio","Vargas, Paulo Sérgio de
Paula","Projeto de uma arena na serra com estádio, centro de converções, shopping, praça de alimentção e cinema",projeto de arquitetura,Projeto/ arena/ estádio/ centro de (núcleo de)/ convenções/ esporte,Serra
Manguetown,2006,"Casado, Tatiana Caniçali","Almenara, Rogério",,Loteamento e projeto de conjunto habitacional de interesse social no mangue. Goiabeiras ,Projeto de urbanismo,Projeto/ urbanismo/ conjunto habitacional/ interesse social/ mangue,Goiabeiras
